orientador,departamento,unidade,centro,total_planos,total_vagas_remuneradas,areas_cnpq,codigos_projetos,editais,ids_oportunidades,titulos_planos
JOSINEIDE FRANCISCO SAMPAIO,FACULDADE DE MEDICINA,FAMED,FAMED,3,3.0,Saúde Coletiva,PVFM4795-2026,Edital 01 Pibic Ufal 2026-2027,98379794; 98379796; 98379800,"FUNDAMENTAÇÃO TEÓRICO-PEDAGÓGICA E PLANEJAMENTO DE OFICINAS DE LETRAMENTO EM SAÚDE SOBRE ALBINISMO | MOBILIZAÇÃO SOCIAL, RECRUTAMENTO E EXECUÇÃO DAS OFICINAS DE LETRAMENTO EM SAÚDE | PRODUÇÃO CIENTÍFICA E DISSEMINAÇÃO DOS RESULTADOS DAS OFICINAS DE LETRAMENTO EM SAÚDE SOBRE ALBINISMO"
JULIO CESAR DE OLIVEIRA SANTOS,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,0.0,Educação,PVCB5359-2026,Edital 01 Pibic Ufal 2026-2027,98380972,Abordagens de gênero e sexualidade em livros didáticos de Ciências da Natureza da EJA: uma análise das obras aprovadas no PNLD 2026
LUANA MARINA DE CASTRO MENDONCA,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,0.0,Zoologia,PVCB4802-2026,Edital 01 Pibic Ufal 2026-2027,98380943,Biodiversidade dos Ophiuroidea (Echinodermata) em placas de recrutamento no estuário do rio Vaza-Barris
LUCAS ANHEZINI DE ARAUJO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,0.0,Biologia Geral,PVCB4985-2026; PVCB4978-2026,Edital 02 Pibic Ações Afirmativas Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98380170; 98380263,Avaliação neuroprotetora de fármacos reposicionados em modelos de Esclerose Lateral Amiotrófica em Drosophila melanogaster | Caracterização comportamental de modelos epilépticos de Drosophila melanogaster submetidos a estresse térmico
LUIZA ANTAS RABELO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,4,4.0,Biotecnologia; Farmacologia,PVCB5623-2026; PVCB5594-2026,Edital 03 Pibiti Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98381520; 98381548; 98381563; 98381575,"Avaliação metabólica integrativa do 3-aminotriazole, um inibidor clássico da catálase, em modelo roedor de síndrome metabólica | Avaliação do potencial farmacológico do 3-aminotriazole, um inibidor clássico da catalase, na doença hepática gordurosa não alcoólica em modelo roedor para Síndrome Metabólica | Desenvolvimento de beberagem probiótica a base de Kombucha: caracterização preliminar e potenciais repercussões antioxidantes | Desenvolvimento de barra probiótica provinda do aproveitamento sustentável de resíduos de beberagens fermentadas"
MAGNA SUZANA ALEXANDRE MOREIRA,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,0.0,Farmácia,PVCB5372-2026,Edital 03 Pibiti Ufal 2026-2027,98380977; 98380980,Estudo do Extrato Etanólico e Frações das Flores de Gymnanthemum amygdalinum em Linhagem de Glioblastoma Humano U251 | Atividade Antitumor in vitro de 3-O-Metilquercetina e Luteolina Isoladas das Flores de Gymnanthemum amygdalinum frente a Células de Glioblastoma Humano U251
MANOEL ALVARO DE FREITAS LINS NETO,FACULDADE DE MEDICINA,FAMED,FAMED,2,0.0,Medicina,PVFM5141-2026,Edital 01 Pibic Ufal 2026-2027,98380514; 98380517,"Análise estatística e visualização de resultados em relação à remissão histológica definida pelo Índice de Nancy e desfechos clínicos na retocolite ulcerativa | Apoio metodológico, organização de dados e revisão crítica em relação à remissão histológica definida pelo Índice de Nancy e desfechos clínicos na retocolite ulcerativa"
MARCELO DUZZIONI,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,2.0,Farmacologia,PVCB5068-2026,Edital 01 Pibic Ufal 2026-2027,98380371; 98380376,Avaliação dos efeitos de derivados fenetilamínicos sobre alterações celulares induzidas por corticosterona em células SH-SY5Y | Investigação da resposta celular ao estresse oxidativo mediado por peróxido de hidrogênio em células SH-SY5Y tratadas com derivados fenetilamínicos
MARCIO AMORIM EFE,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,0.0,Ecologia,PVCB4785-2026,Edital 01 Pibic Ufal 2026-2027,98379769,Dinâmica espaço-temporal de aves limícolas migratórias em áreas urbanas da APA Costa dos Corais
MARCOS ANTONIO ELEUTERIO DA SILVA,FACULDADE DE MEDICINA,FAMED,FAMED,2,2.0,Saúde Coletiva,PVFM5400-2026,Edital 01 Pibic Ufal 2026-2027,98381107; 98381231,"Avaliação dos hábitos alimentares, atividade física e autopercepção de peso corporal em escolares brasileiros para a identificação de fatores ligados à obesidade coletados a partir da pesquisa nacional de saúde do escolar – PeNSE 2024. | Avaliação da saúde mental, saúde sexual e autopercepção corporal em escolares brasileiros para a identificação de fatores ligados ao sofrimento psíquico e à vulnerabilidade social a partir da pesquisa nacional de saúde do escolar – PeNSE 2024."
MARCOS VINICIUS CARNEIRO VITAL,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,6,6.0,Biologia Geral; Ecologia,PVCB5461-2026; PVCB5458-2026,Edital 03 Pibiti Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98381163; 98381165; 98381178; 98381183; 98381192; 98381197,Distribuição geográfica de espécies de Odonata: padrões e lacunas | Conhecimento acadêmico sobre espécies de Odonata: padrões e lacunas | História de vida e filogenias de Odonata: padrões e lacunas | Interesse popular sobre espécies de Odonata: padrões e lacunas | Jogos digitais modificáveis para o ensino de Biologia: Saúde | Jogos digitais modificáveis para o ensino de Biologia: Meio Ambiente
MARIA CLAUDIA DA SILVA,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,0.0,Saúde Coletiva,PVCB5083-2026,Edital 01 Pibic Ufal 2026-2027,98380389,Soroepidemiologia da doença de Chagas em idosos residentes no estado de Alagoas.
MARIA DANIELMA DOS SANTOS REIS,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,1.0,Morfologia,PVCB5038-2026,Edital 02 Pibic Ações Afirmativas Ufal 2026-2027,98380294,Avaliação do risco cardiovascular em pessoas transmasculinas em processo de hormonização cruzada
MARIA DAS GRACAS MONTE MELLO TAVEIRA,FACULDADE DE MEDICINA,FAMED,FAMED,1,0.0,Saúde Coletiva,PIFM5546-2026,Edital 01 Pibic Ufal 2026-2027,98381453,Transparência algorítmica e autonomia na tomada de decisão clínica mediada por Inteligência Artificial: revisão sistemática da literatura
MELISSA FONTES LANDELL,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,3,9.0,Microbiologia,PVCB4709-2026; PVCB4708-2026,Edital 03 Pibiti Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98379594; 98379597; 98379593,Prospecção de leveduras isoladas da Caatinga alagoana quanto à produção de enzimas | Prospecção de leveduras isoladas de manguezais alagoananos quanto à produção de enzimas | Efeito de leveduras oriundas de manguezais alagoanos na promoção do crescimento vegetal
MICHAEL FERREIRA MACHADO,FACULDADE DE MEDICINA,FAMED,FAMED,4,0.0,Saúde Coletiva,PVFM5250-2026; PVFM5166-2026; PVFM5162-2026,Edital 01 Pibic Ufal 2026-2027; Edital 02 Pibic Ações Afirmativas Ufal 2026-2027; Edital 03 Pibiti Ufal 2026-2027,98380559; 98380741; 98380750; 98380566,Determinantes sociais e desafios programáticos da coinfecção tuberculose/HIV no Sistema Único de Saúde | Geoprocessamento e análise espacial da coinfecção tuberculose/HIV nas Regiões de Saúde de Alagoas | Desenvolvimento de plataforma interativa para monitoramento epidemiológico da coinfecção tuberculose/HIV em Alagoas | Vigilância epidemiológica e distribuição espaço-temporal da tuberculose em Alagoas (2021-2025)
MICHELLE JACINTHA CAVALCANTE OLIVEIRA,FACULDADE DE MEDICINA,FAMED,FAMED,1,1.0,Medicina,PVFM5320-2026,Edital 01 Pibic Ufal 2026-2027,98380903,"Monitoramento, avaliação e registro de parâmetros hemodinâmicos e da segurança clínica em pacientes renais crônicos submetidos a exercício de força aguda pré-diálise."
