model_id,entity_type,entity_id,space,topic_id,weight,analyzed_at
semv2-efe88180e47a6fc1,project,PIFM5548-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PIFM5548-2026,domain,8,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PIFM5548-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PIFM5548-2026,domain,10,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PIFM5548-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PIFM5548-2026,domain,12,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PIFM5548-2026,domain,13,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,0,0.019877494966163697,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,2,0.09225587673125736,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,3,0.0716629943201826,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,4,0.03555965996985004,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,5,0.5077074908322403,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,6,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,8,0.027424532547586304,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,9,0.07811520507615732,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,10,0.01766055165863708,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,12,0.06373631085095155,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4702-2026,domain,13,0.08599988304697391,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,2,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,3,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,4,0.0030964109702637313,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,5,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,6,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,8,0.003279766404271004,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,10,0.9822613120991939,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,12,0.011362510526271422,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4708-2026,domain,13,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,2,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,3,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,4,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,5,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,6,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,8,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,10,1.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,12,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4709-2026,domain,13,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,2,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,3,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,4,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,5,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,6,0.0,2026-09-04T06:34:12+00:00
