entity_type,entity_id,topic_id,weight,analyzed_at
opportunity,98379538,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,2,7.513747505031152e-05,2026-09-04T06:34:12+00:00
opportunity,98379538,3,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,4,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,5,0.3697584182851894,2026-09-04T06:34:12+00:00
opportunity,98379538,6,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,7,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,8,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,9,0.3655766215614748,2026-09-04T06:34:12+00:00
opportunity,98379538,10,0.0,2026-09-04T06:34:12+00:00
opportunity,98379538,11,0.018011657595221706,2026-09-04T06:34:12+00:00
opportunity,98379538,12,0.06868838253606636,2026-09-04T06:34:12+00:00
opportunity,98379538,13,0.1778897825469974,2026-09-04T06:34:12+00:00
opportunity,98379540,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,2,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,3,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,4,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,5,0.41979485044243753,2026-09-04T06:34:12+00:00
opportunity,98379540,6,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,7,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,8,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,9,0.4571330340285161,2026-09-04T06:34:12+00:00
opportunity,98379540,10,0.01511740472845627,2026-09-04T06:34:12+00:00
opportunity,98379540,11,0.0,2026-09-04T06:34:12+00:00
opportunity,98379540,12,0.049301947464913044,2026-09-04T06:34:12+00:00
opportunity,98379540,13,0.058652763335676976,2026-09-04T06:34:12+00:00
opportunity,98379543,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,2,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,3,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,4,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,5,0.5566038275854521,2026-09-04T06:34:12+00:00
opportunity,98379543,6,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,7,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,8,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,9,0.2727964701723122,2026-09-04T06:34:12+00:00
opportunity,98379543,10,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,11,0.0,2026-09-04T06:34:12+00:00
opportunity,98379543,12,0.04324896066291581,2026-09-04T06:34:12+00:00
opportunity,98379543,13,0.12735074157932005,2026-09-04T06:34:12+00:00
opportunity,98379544,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,2,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,3,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,4,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,5,0.34261238575278286,2026-09-04T06:34:12+00:00
opportunity,98379544,6,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,7,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,8,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,9,0.38508448226323366,2026-09-04T06:34:12+00:00
opportunity,98379544,10,0.015236474987855646,2026-09-04T06:34:12+00:00
opportunity,98379544,11,0.0,2026-09-04T06:34:12+00:00
opportunity,98379544,12,0.1417015794547297,2026-09-04T06:34:12+00:00
opportunity,98379544,13,0.11536507754139808,2026-09-04T06:34:12+00:00
opportunity,98379577,0,0.043647101226332065,2026-09-04T06:34:12+00:00
opportunity,98379577,1,0.0,2026-09-04T06:34:12+00:00
