entity_type,entity_id,tfidf_similarity,lsa_similarity,bm25_similarity,combined_score,cluster_id,x,y,analyzed_at
opportunity,98379538,0.11253202002566308,0.4210202635057053,0.5816717838406357,0.7620347713274632,0,-0.13913207426823831,-0.06576321015508262,2026-09-04T06:34:12+00:00
opportunity,98379540,0.10353931620305765,0.37894256180681346,0.35105570220847737,0.5443625730994153,0,-0.13913207426823831,-0.06576321015508262,2026-09-04T06:34:12+00:00
opportunity,98379543,0.09122948900673267,0.37510371557776173,0.3261513198546344,0.5585203876495626,0,-0.13913207426823831,-0.06576321015508262,2026-09-04T06:34:12+00:00
opportunity,98379544,0.0956764150642083,0.44837844135808,0.315366701353647,0.522027202720272,0,-0.13913207426823831,-0.06576321015508262,2026-09-04T06:34:12+00:00
opportunity,98379577,0.07725960319265167,0.26044444016914053,0.2847018647461829,0.3376684006936108,0,-0.02738992363265183,0.0074512782616177,2026-09-04T06:34:12+00:00
opportunity,98379579,0.07084708722440941,0.2540278564080134,0.19399544222283238,0.29743878906990595,0,-0.02738992363265183,0.0074512782616177,2026-09-04T06:34:12+00:00
opportunity,98379582,0.05795637548764936,0.318210551425694,0.0317023007997289,0.27571555433068456,0,-0.02738992363265183,0.0074512782616177,2026-09-04T06:34:12+00:00
opportunity,98379593,0.05990895876835589,0.3267240048230755,0.0779989985427925,0.28955092159562956,4,0.05981290269172112,0.1602721369310507,2026-09-04T06:34:12+00:00
opportunity,98379594,0.062133745324037704,0.2088301735993059,0.09048671854083203,0.2740548667945152,4,0.02199553279236319,0.1407216903319394,2026-09-04T06:34:12+00:00
opportunity,98379597,0.060279992700989785,0.20123740136726279,0.09526339812172219,0.27282349874226486,4,0.02199553279236319,0.1407216903319394,2026-09-04T06:34:12+00:00
opportunity,98379605,0.08129482445622327,0.43628154382870893,0.19307384228287247,0.49208313177424845,0,-0.08724505994374535,-0.08376398805424976,2026-09-04T06:34:12+00:00
