column_name,column_type,null,key,default,extra
siape,VARCHAR,NO,PRI,,
canonical_name,VARCHAR,YES,,,
department,VARCHAR,YES,,,
unit,VARCHAR,YES,,,
center,VARCHAR,YES,,,
email,VARCHAR,YES,,,
phone,VARCHAR,YES,,,
profile_url,VARCHAR,YES,,,
photo_url,VARCHAR,YES,,,
lattes_id,VARCHAR,YES,,,
lattes_update_date,VARCHAR,YES,,,
lattes_update_time,VARCHAR,YES,,,
profile_summary,VARCHAR,YES,,,
public_scraped_at,VARCHAR,YES,,,
source_json_path,VARCHAR,YES,,,
