id_opportunity,status,raw_status,applied_at,synced_at
98379819,applied,applied,2026-09-02T23:13:04.921146,2026-09-04T05:11:57+00:00
98379994,applied,applied,2026-09-02T23:21:25.203855,2026-09-04T05:11:57+00:00
98380604,applied,applied,2026-09-02T23:21:33.203715,2026-09-04T05:11:57+00:00
98380609,applied,applied,2026-09-02T23:21:41.327573,2026-09-04T05:11:57+00:00
98380478,applied,applied,2026-09-02T23:21:49.860525,2026-09-04T05:11:57+00:00
98380522,applied,applied,2026-09-02T23:21:57.717256,2026-09-04T05:11:57+00:00
98380963,applied,applied,2026-09-02T23:22:05.630831,2026-09-04T05:11:57+00:00
98380981,applied,applied,2026-09-02T23:22:13.869048,2026-09-04T05:11:57+00:00
98381000,applied,applied,2026-09-02T23:22:26.167969,2026-09-04T05:11:57+00:00
98380103,applied,applied,2026-09-02T23:22:35.273073,2026-09-04T05:11:57+00:00
98380163,applied,applied,2026-09-02T23:22:43.615463,2026-09-04T05:11:57+00:00
98381708,applied,applied,2026-09-02T23:22:51.710249,2026-09-04T05:11:57+00:00
98381717,applied,applied,2026-09-02T23:22:59.814498,2026-09-04T05:11:57+00:00
98381727,applied,applied,2026-09-02T23:23:07.747280,2026-09-04T05:11:57+00:00
98381736,applied,applied,2026-09-02T23:23:15.779587,2026-09-04T05:11:57+00:00
98380502,applied,applied,2026-09-02T23:23:23.646674,2026-09-04T05:11:57+00:00
98380506,applied,applied,2026-09-02T23:23:31.524768,2026-09-04T05:11:57+00:00
98380507,applied,applied,2026-09-02T23:23:39.337391,2026-09-04T05:11:57+00:00
98380509,applied,applied,2026-09-02T23:23:47.219248,2026-09-04T05:11:57+00:00
98380669,applied,applied,2026-09-02T23:23:55.305019,2026-09-04T05:11:57+00:00
98380675,applied,applied,2026-09-02T23:24:03.336798,2026-09-04T05:11:57+00:00
98380998,applied,applied,2026-09-02T23:24:11.195127,2026-09-04T05:11:57+00:00
98381009,applied,applied,2026-09-02T23:24:19.413608,2026-09-04T05:11:57+00:00
98381017,applied,applied,2026-09-02T23:24:27.243376,2026-09-04T05:11:57+00:00
98381022,applied,applied,2026-09-02T23:24:34.907097,2026-09-04T05:11:57+00:00
98380070,applied,applied,2026-09-02T23:24:43.352280,2026-09-04T05:11:57+00:00
98379609,applied,applied,2026-09-02T23:24:51.496607,2026-09-04T05:11:57+00:00
98381763,applied,applied,2026-09-02T23:24:59.943731,2026-09-04T05:11:57+00:00
98379784,applied,applied,2026-09-02T23:25:08.155928,2026-09-04T05:11:57+00:00
98380915,applied,applied,2026-09-02T23:25:16.592271,2026-09-04T05:11:57+00:00
98380922,applied,applied,2026-09-02T23:25:24.963449,2026-09-04T05:11:57+00:00
98381185,applied,applied,2026-09-02T23:25:33.672323,2026-09-04T05:11:57+00:00
98381200,applied,applied,2026-09-02T23:25:44.422825,2026-09-04T05:11:57+00:00
98381734,applied,applied,2026-09-02T23:25:52.603430,2026-09-04T05:11:57+00:00
98381713,applied,applied,2026-09-02T23:26:01.571984,2026-09-04T05:11:57+00:00
98381747,applied,applied,2026-09-02T23:26:09.846335,2026-09-04T05:11:57+00:00
98379577,applied,applied,2026-09-02T23:26:18.080864,2026-09-04T05:11:57+00:00
98379579,applied,applied,2026-09-02T23:26:26.290999,2026-09-04T05:11:57+00:00
98379582,applied,applied,2026-09-02T23:26:34.591658,2026-09-04T05:11:57+00:00
98380329,applied,applied,2026-09-02T23:26:42.904862,2026-09-04T05:11:57+00:00
98380674,applied,applied,2026-09-02T23:26:51.075136,2026-09-04T05:11:57+00:00
98380681,applied,applied,2026-09-02T23:27:01.075544,2026-09-04T05:11:57+00:00
98380691,applied,applied,2026-09-02T23:27:10.202061,2026-09-04T05:11:57+00:00
98380696,applied,applied,2026-09-02T23:27:18.511134,2026-09-04T05:11:57+00:00
98380368,applied,applied,2026-09-02T23:27:28.369212,2026-09-04T05:11:57+00:00
98380374,applied,applied,2026-09-02T23:27:39.141474,2026-09-04T05:11:57+00:00
98380916,applied,applied,2026-09-02T23:27:47.081312,2026-09-04T05:11:57+00:00
98380932,applied,applied,2026-09-02T23:27:55.267699,2026-09-04T05:11:57+00:00
98380358,applied,applied,2026-09-02T23:28:04.218010,2026-09-04T05:11:57+00:00
98380972,applied,applied,2026-09-02T23:28:12.179163,2026-09-04T05:11:57+00:00
98380943,applied,applied,2026-09-02T23:28:20.112447,2026-09-04T05:11:57+00:00
98380170,applied,applied,2026-09-02T23:28:28.583416,2026-09-04T05:11:57+00:00
98380263,applied,applied,2026-09-02T23:28:36.902585,2026-09-04T05:11:57+00:00
98381520,applied,applied,2026-09-02T23:28:45.289582,2026-09-04T05:11:57+00:00
98381548,applied,applied,2026-09-02T23:28:53.850944,2026-09-04T05:11:57+00:00
98381563,applied,applied,2026-09-02T23:29:02.117254,2026-09-04T05:11:57+00:00
98381575,applied,applied,2026-09-02T23:29:10.399042,2026-09-04T05:11:57+00:00
98380977,applied,applied,2026-09-02T23:29:19.773026,2026-09-04T05:11:57+00:00
98380980,applied,applied,2026-09-02T23:29:28.027991,2026-09-04T05:11:57+00:00
98380371,applied,applied,2026-09-02T23:29:36.272730,2026-09-04T05:11:57+00:00
98380376,applied,applied,2026-09-02T23:29:44.545528,2026-09-04T05:11:57+00:00
98379769,applied,applied,2026-09-02T23:29:52.921427,2026-09-04T05:11:57+00:00
98381163,applied,applied,2026-09-02T23:30:01.096371,2026-09-04T05:11:57+00:00
98381165,applied,applied,2026-09-02T23:30:09.788563,2026-09-04T05:11:57+00:00
98381178,applied,applied,2026-09-02T23:30:18.063034,2026-09-04T05:11:57+00:00
98381183,applied,applied,2026-09-02T23:30:26.536690,2026-09-04T05:11:57+00:00
98381192,applied,applied,2026-09-02T23:30:35.844929,2026-09-04T05:11:57+00:00
98381197,applied,applied,2026-09-02T23:30:44.230997,2026-09-04T05:11:57+00:00
98380389,applied,applied,2026-09-02T23:30:52.279333,2026-09-04T05:11:57+00:00
98380294,applied,applied,2026-09-02T23:31:00.775275,2026-09-04T05:11:57+00:00
98379594,applied,applied,2026-09-02T23:31:10.022717,2026-09-04T05:11:57+00:00
