table_name,column_name,data_type,is_nullable,ordinal_position
semantic_benchmarks,value,DOUBLE,YES,5
semantic_benchmarks,payload_json,VARCHAR,YES,6
semantic_benchmarks,analyzed_at,VARCHAR,YES,7
semantic_entity_scores,model_id,VARCHAR,YES,1
semantic_entity_scores,entity_type,VARCHAR,YES,2
semantic_entity_scores,entity_id,VARCHAR,YES,3
semantic_entity_scores,domain_word,DOUBLE,YES,4
semantic_entity_scores,domain_char,DOUBLE,YES,5
semantic_entity_scores,domain_lsa,DOUBLE,YES,6
semantic_entity_scores,domain_bm25f,DOUBLE,YES,7
semantic_entity_scores,domain_fit,DOUBLE,YES,8
semantic_entity_scores,method_word,DOUBLE,YES,9
semantic_entity_scores,method_char,DOUBLE,YES,10
semantic_entity_scores,method_lsa,DOUBLE,YES,11
semantic_entity_scores,method_bm25f,DOUBLE,YES,12
semantic_entity_scores,method_fit,DOUBLE,YES,13
semantic_entity_scores,skill_word,DOUBLE,YES,14
semantic_entity_scores,skill_char,DOUBLE,YES,15
semantic_entity_scores,skill_lsa,DOUBLE,YES,16
semantic_entity_scores,skill_bm25f,DOUBLE,YES,17
semantic_entity_scores,skill_fit,DOUBLE,YES,18
semantic_entity_scores,combined_fit,DOUBLE,YES,19
semantic_entity_scores,cluster_id,BIGINT,YES,20
semantic_entity_scores,x,DOUBLE,YES,21
semantic_entity_scores,y,DOUBLE,YES,22
semantic_entity_scores,analyzed_at,VARCHAR,YES,23
semantic_entity_topics,model_id,VARCHAR,YES,1
semantic_entity_topics,entity_type,VARCHAR,YES,2
semantic_entity_topics,entity_id,VARCHAR,YES,3
semantic_entity_topics,space,VARCHAR,YES,4
semantic_entity_topics,topic_id,BIGINT,YES,5
semantic_entity_topics,weight,DOUBLE,YES,6
semantic_entity_topics,analyzed_at,VARCHAR,YES,7
semantic_professor_evidence,model_id,VARCHAR,YES,1
semantic_professor_evidence,siape,VARCHAR,YES,2
semantic_professor_evidence,evidence_rank,BIGINT,YES,3
semantic_professor_evidence,item_type,VARCHAR,YES,4
semantic_professor_evidence,item_id,VARCHAR,YES,5
semantic_professor_evidence,label,VARCHAR,YES,6
semantic_professor_evidence,score,DOUBLE,YES,7
semantic_professor_evidence,payload_json,VARCHAR,YES,8
semantic_professor_evidence,analyzed_at,VARCHAR,YES,9
semantic_runs,model_id,VARCHAR,NO,1
semantic_runs,corpus_hash,VARCHAR,YES,2
semantic_runs,config_json,VARCHAR,YES,3
semantic_runs,corpus_stats_json,VARCHAR,YES,4
semantic_runs,benchmark_json,VARCHAR,YES,5
semantic_runs,created_at,VARCHAR,YES,6
semantic_topics,model_id,VARCHAR,YES,1
semantic_topics,space,VARCHAR,YES,2
semantic_topics,topic_id,BIGINT,YES,3
semantic_topics,label,VARCHAR,YES,4
semantic_topics,top_terms_json,VARCHAR,YES,5
semantic_topics,diagnostics_json,VARCHAR,YES,6
semantic_topics,analyzed_at,VARCHAR,YES,7
sigaa_public_errors,stage,VARCHAR,YES,1
sigaa_public_errors,siape,VARCHAR,YES,2
sigaa_public_errors,input_index,BIGINT,YES,3
sigaa_public_errors,input_name,VARCHAR,YES,4
sigaa_public_errors,url,VARCHAR,YES,5
sigaa_public_errors,error,VARCHAR,YES,6
sigaa_public_errors,traceback,VARCHAR,YES,7
sigaa_public_errors,occurred_at_utc,VARCHAR,YES,8
sigaa_public_fetches,siape,VARCHAR,YES,1
sigaa_public_fetches,scope,VARCHAR,YES,2
sigaa_public_fetches,page_type,VARCHAR,YES,3
sigaa_public_fetches,url,VARCHAR,YES,4
sigaa_public_fetches,fetched_at_utc,TIMESTAMP,YES,5
sigaa_public_fetches,status_code,BIGINT,YES,6
sigaa_public_fetches,content_type,VARCHAR,YES,7
sigaa_public_fetches,detected_encoding,VARCHAR,YES,8
sigaa_public_fetches,bytes,BIGINT,YES,9
sigaa_public_fetches,sha256,VARCHAR,YES,10
sigaa_public_fetches,local_path,VARCHAR,YES,11
sigaa_public_fetches,from_cache,BOOLEAN,YES,12
sigaa_public_fetches,error,VARCHAR,YES,13
sigaa_public_fields,siape,VARCHAR,YES,1
sigaa_public_fields,page_type,VARCHAR,YES,2
sigaa_public_fields,url,VARCHAR,YES,3
sigaa_public_fields,kind,VARCHAR,YES,4
sigaa_public_fields,ordinal,BIGINT,YES,5
sigaa_public_fields,key,VARCHAR,YES,6
sigaa_public_fields,value,VARCHAR,YES,7
sigaa_public_fields,meta_json,VARCHAR,YES,8
sigaa_public_forms,siape,VARCHAR,YES,1
sigaa_public_forms,page_type,VARCHAR,YES,2
sigaa_public_forms,url,VARCHAR,YES,3
sigaa_public_forms,form_index,BIGINT,YES,4
sigaa_public_forms,method,VARCHAR,YES,5
sigaa_public_forms,action,VARCHAR,YES,6
sigaa_public_forms,attrs_json,VARCHAR,YES,7
sigaa_public_forms,controls_json,VARCHAR,YES,8
sigaa_public_images,siape,VARCHAR,YES,1
sigaa_public_images,page_type,VARCHAR,YES,2
sigaa_public_images,source_url,VARCHAR,YES,3
sigaa_public_images,image_index,BIGINT,YES,4
sigaa_public_images,src_raw,VARCHAR,YES,5
sigaa_public_images,src_abs,VARCHAR,YES,6
sigaa_public_images,alt,VARCHAR,YES,7
sigaa_public_images,attrs_json,VARCHAR,YES,8
sigaa_public_input_matches,input_index,BIGINT,YES,1
sigaa_public_input_matches,input_name,VARCHAR,YES,2
sigaa_public_input_matches,input_department,VARCHAR,YES,3
sigaa_public_input_matches,resolution_status,VARCHAR,YES,4
sigaa_public_input_matches,siape,VARCHAR,YES,5
sigaa_public_input_matches,sigaa_name,VARCHAR,YES,6
sigaa_public_input_matches,sigaa_department,VARCHAR,YES,7
sigaa_public_input_matches,match_method,VARCHAR,YES,8
sigaa_public_input_matches,match_score,DOUBLE,YES,9
sigaa_public_input_matches,profile_url,VARCHAR,YES,10
sigaa_public_input_professors,input_index,BIGINT,YES,1
sigaa_public_input_professors,orientador,VARCHAR,YES,2
sigaa_public_input_professors,departamento,VARCHAR,YES,3
sigaa_public_input_professors,unidade,VARCHAR,YES,4
sigaa_public_input_professors,centro,VARCHAR,YES,5
sigaa_public_input_professors,total_planos,VARCHAR,YES,6
sigaa_public_input_professors,total_vagas_remuneradas,VARCHAR,YES,7
sigaa_public_input_professors,areas_cnpq,VARCHAR,YES,8
sigaa_public_input_professors,codigos_projetos,VARCHAR,YES,9
sigaa_public_input_professors,editais,VARCHAR,YES,10
sigaa_public_input_professors,ids_oportunidades,VARCHAR,YES,11
sigaa_public_input_professors,titulos_planos,VARCHAR,YES,12
sigaa_public_input_professors,row_json,VARCHAR,YES,13
sigaa_public_lattes_documents,siape,VARCHAR,YES,1
sigaa_public_lattes_documents,lattes_id,VARCHAR,YES,2
